id,url,href,title,price_ghs,price_period,price_ghs_month,is_daily_rate,beds,baths,garages,area_m2,neighborhood,furnished,is_featured
472704,https://meqasa.com/studio apartment-for-rent-at-Labone-472704,/studio apartment-for-rent-at-Labone-472704?y=186631647,"1 bedroom furnished studio apartment for rent in Accra, Labone",5570,month,5570,False,1,1,1,,Labone,True,True
263030,https://meqasa.com/apartment-for-rent-at-Spintex-263030,/apartment-for-rent-at-Spintex-263030?y=186631647,"1 bedroom furnished apartment for rent in Accra, Spintex",9500,month,9500,False,1,1,1,100.0,Spintex,True,True
465037,https://meqasa.com/apartment-for-rent-at-East-Legon-465037,/apartment-for-rent-at-East-Legon-465037?y=186631647,"1 bedroom furnished apartment for rent in Accra, East Legon",665,day,19950,True,1,1,1,,East Legon,True,True
472400,https://meqasa.com/apartment-for-rent-at-Afienya-472400,/apartment-for-rent-at-Afienya-472400?y=186631647,2 bedroom apartment for rent in Afienya,2200,month,2200,False,2,3,4,,Afienya,False,True
472452,https://meqasa.com/apartment-for-rent-at-Afienya-472452,/apartment-for-rent-at-Afienya-472452?y=186631647,2 bedroom apartment for rent in Afienya,2300,month,2300,False,2,2,1,,Afienya,False,True
474762,"https://meqasa.com/apartment-for-rent-at-Airport-Residential-Area,-Grand-Mirage--474762","/apartment-for-rent-at-Airport-Residential-Area,-Grand-Mirage--474762?y=186631647","1 bedroom furnished apartment for rent in Accra, Airport Residential Area, Grand Mirage",25623,month,25623,False,1,1,1,80.0,"Airport Residential Area, Grand Mirage",True,False
406858,https://meqasa.com/apartment-for-rent-at-Cantonments-406858,/apartment-for-rent-at-Cantonments-406858?y=186631647,"2 bedroom furnished apartment for rent in Accra, Cantonments",30079,month,30079,False,2,3,2,,Cantonments,True,False
203987,https://meqasa.com/apartment-for-rent-at-East-Legon-hills--203987,/apartment-for-rent-at-East-Legon-hills--203987?y=186631647,"2 bedroom apartment for rent in Accra, East Legon hills",2500,month,2500,False,2,1,2,579.0,East Legon hills,False,False
473793,https://meqasa.com/apartment-for-rent-at-West-Legon-473793,/apartment-for-rent-at-West-Legon-473793?y=186631647,"2 bedroom apartment for rent in Accra, West Legon",6000,month,6000,False,2,2,,,West Legon,False,False
470669,https://meqasa.com/apartment-for-rent-at-Cantonments-470669,/apartment-for-rent-at-Cantonments-470669?y=186631647,"2 bedroom furnished apartment for rent in Accra, Cantonments",33421,month,33421,False,2,2,,,Cantonments,True,False
413739,https://meqasa.com/apartment-for-rent-at-East-Legon-69-413739,/apartment-for-rent-at-East-Legon-69-413739?y=186631647,"2 bedroom apartment for rent in Accra, East Legon 69",16711,month,16711,False,2,3,2,5000.0,East Legon 69,False,False
465633,https://meqasa.com/apartment-for-rent-at-East-legon-69-465633,/apartment-for-rent-at-East-legon-69-465633?y=186631647,"3 bedroom furnished apartment for rent in Accra, East legon 69",27851,month,27851,False,3,4,2,5000.0,East legon 69,True,False
458222,https://meqasa.com/apartment-for-rent-at-Spintex-road--458222,/apartment-for-rent-at-Spintex-road--458222?y=186631647,"2 bedroom furnished apartment for rent in Accra, Spintex road",1114,day,33420,True,2,3,,,Spintex road,True,False
462167,https://meqasa.com/apartment-for-rent-at-Cantonments-462167,/apartment-for-rent-at-Cantonments-462167?y=186631647,"2 bedroom furnished apartment for rent in Accra, Cantonments",38991,month,38991,False,2,2,2,,Cantonments,True,False
407387,https://meqasa.com/apartment-for-rent-at-Dansoman-407387,/apartment-for-rent-at-Dansoman-407387?y=186631647,"2 bedroom furnished apartment for rent in Accra, Dansoman",11000,month,11000,False,2,3,,,Dansoman,True,False
462391,https://meqasa.com/apartment-for-rent-at-East-Legon-462391,/apartment-for-rent-at-East-Legon-462391?y=186631647,"1 bedroom furnished apartment for rent in Accra, East Legon",6000,month,6000,False,1,1,,,East Legon,True,False
471924,https://meqasa.com/apartment-for-rent-at-East-Legon-471924,/apartment-for-rent-at-East-Legon-471924?y=186631647,"1 bedroom furnished apartment for rent in Accra, East Legon",17250,month,17250,False,1,1,,,East Legon,True,False
438814,https://meqasa.com/apartment-for-rent-at-East-Legon-near-AnC-Mall-438814,/apartment-for-rent-at-East-Legon-near-AnC-Mall-438814?y=186631647,"2 bedroom furnished apartment for rent in Accra, East Legon near AnC Mall",13800,month,13800,False,2,2,,,East Legon near AnC Mall,True,False
472635,https://meqasa.com/apartment-for-rent-at-Oyarifa-472635,/apartment-for-rent-at-Oyarifa-472635?y=186631647,3 bedroom apartment for rent in Oyarifa,6500,month,6500,False,3,3,,,Oyarifa,False,False
386749,https://meqasa.com/apartment-for-rent-at-West-Hills-Mall-386749,/apartment-for-rent-at-West-Hills-Mall-386749?y=186631647,2 bedroom furnished apartment for rent in West Hills Mall,8500,month,8500,False,2,3,2,,West Hills Mall,True,False
465033,https://meqasa.com/apartment-for-rent-at-Eastlegon--465033,/apartment-for-rent-at-Eastlegon--465033?y=186631647,2 bedroom furnished apartment for rent in Eastlegon,22180,month,22180,False,2,2,2,109.0,Eastlegon,True,False
448479,https://meqasa.com/apartment-for-rent-at-East-Legon-448479,/apartment-for-rent-at-East-Legon-448479?y=186631647,"1 bedroom furnished apartment for rent in Accra, East Legon",6500,month,6500,False,1,1,1,,East Legon,True,False
469876,https://meqasa.com/apartment-for-rent-at-Taifa-469876,/apartment-for-rent-at-Taifa-469876?y=186631647,2 bedroom apartment for rent in Taifa,7000,month,7000,False,2,2,4,90.0,Taifa,False,False
263570,https://meqasa.com/apartment-for-rent-at-Community-18-Spintex-263570,/apartment-for-rent-at-Community-18-Spintex-263570?y=186631647,"1 bedroom furnished apartment for rent in Accra, Community 18 Spintex",7950,month,7950,False,1,1,1,70.0,Community 18 Spintex,True,False
6680,"https://meqasa.com/apartment-for-rent-at-Airport-Residential-Area,-Accra,-Ghana-006680","/apartment-for-rent-at-Airport-Residential-Area,-Accra,-Ghana-006680?y=186631647","3 bedroom furnished apartment for rent in Airport Residential Area, Accra, Ghana",27851,month,27851,False,3,3,,,Airport Residential Area,True,False
458343,https://meqasa.com/apartment-for-rent-at-Spintex-458343,/apartment-for-rent-at-Spintex-458343?y=186631647,"2 bedroom apartment for rent in Accra, Spintex",14400,month,14400,False,2,3,1,160.0,Spintex,False,False
474268,https://meqasa.com/apartment-for-rent-at-Haatso-474268,/apartment-for-rent-at-Haatso-474268?y=186631647,"2 bedroom apartment for rent in Accra, Haatso",4000,month,4000,False,2,2,1,,Haatso,False,False
455879,https://meqasa.com/apartment-for-rent-at-Cantoment-455879,/apartment-for-rent-at-Cantoment-455879?y=186631647,3 bedroom furnished apartment for rent in Cantoment,44562,month,44562,False,3,4,20,198.0,Cantoment,True,False
459698,https://meqasa.com/apartment-for-rent-at-Cantoments-459698,/apartment-for-rent-at-Cantoments-459698?y=186631647,2 bedroom furnished apartment for rent in Cantoments,38991,month,38991,False,2,3,2,,Cantoments,True,False
474049,https://meqasa.com/apartment-for-rent-at-East-Airport-474049,/apartment-for-rent-at-East-Airport-474049?y=186631647,"1 bedroom furnished apartment for rent in Accra, East Airport",12650,month,12650,False,1,1,1,60.0,East Airport,True,False
467581,https://meqasa.com/apartment-for-rent-at-Roman-Ridge-467581,/apartment-for-rent-at-Roman-Ridge-467581?y=186631647,"2 bedroom furnished apartment for rent in Accra, Roman Ridge",21900,month,21900,False,2,2,2,75.0,Roman Ridge,True,False
474050,https://meqasa.com/apartment-for-rent-at-East-Airport-474050,/apartment-for-rent-at-East-Airport-474050?y=186631647,"2 bedroom furnished apartment for rent in Accra, East Airport",16100,month,16100,False,2,2,1,,East Airport,True,False
344466,https://meqasa.com/apartment-for-rent-at-Airport-Residential-Area-344466,/apartment-for-rent-at-Airport-Residential-Area-344466?y=186631647,"1 bedroom furnished apartment for rent in Accra, Airport Residential Area",1495,day,44850,True,1,1,2,50.0,Airport Residential Area,True,False
344465,"https://meqasa.com/apartment-for-rent-at-OSU,-RINGWAY-ESTATE-344465","/apartment-for-rent-at-OSU,-RINGWAY-ESTATE-344465?y=186631647","1 bedroom furnished apartment for rent in Accra, OSU, RINGWAY ESTATE",1380,day,41400,True,1,2,2,47.0,"OSU, RINGWAY ESTATE",True,False
